Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
GARDEN OF VICTORY,Ng'ando,8,1,100
GATANGA,Waithaka,3,1,100
GATEIGURU BIDII,Ng'ando,4,4,400
GATEWAY DEVELOPMENT ,Kayole Central,18,8,1500
GATWEKERA  MLACHAKE SHG,Sarang'ombe,47,26,3400
GEE ENVIRONMENTALIST,South Sakwa,8,5,500
GEM STARS,North Sakwa,4,1,200
GEN Z.,Sidindi,2,1,100
GENERATION AFTER GENERATION,Makina,25,2,300
GENESIS,Sarang'ombe,28,13,3600
GENESIS FOCUS,East Kamagambo,5,2,400
GENESIS KIANDA,Sarang'ombe,3,3,600
GENESIS RACHUONYO SHG,Woodley,17,7,5600
GENO B WOMEN,South Gem,5,4,500
GENO B2,South Gem,2,2,300
GENO BER A,God Jope,3,1,100
GENO BER B,God Jope,4,2,200
GENO BER C,God Jope,2,1,100
GENO MABER,South Kamagambo,5,3,300
GENO MANYIEN,Siaya Township,10,7,1300
GENO NITIE,North Ugenya,11,3,300
GENO NITIE,North Uyoma,11,3,300
GENO SHOFCO,East Kamagambo,1,1,100
GENO WOMEN,South Sakwa,8,5,600
GENO WOMEN A,North Gem,13,10,1400
GER DENDI WOMEN,West Sakwa,3,2,200
GERA AGERI SHG,Sarang'ombe,33,1,400
GET UP AND SHINE,West Yimbo,9,1,100
GET UP AND SHINE,Yimbo East,9,8,800
GIFTED HANDS,East Asembo,6,2,200
GIFTED HANDS,Kangemi,6,1,300
GIFTED HANDS KAYABA ,Kangemi,4,1,100
GIFTED MINDS,Ng'ando,1,1,100
GIR WANI YOUTH GROUP,Ahero,4,1,5
GIRWA,South Uyoma,11,7,700
GIRWA WANGADIA,West Alego,2,1,100
GITHEMBE UNITY,Ng'ando,6,5,500
GITUAMBA WIDOWS,Kasarani,4,2,200
GK SHG,Kanyaluo,1,1,100
GLOBAL ONE SHG,Sarang'ombe,38,9,2200
GLORIOUS,Mfangano Island,9,6,600
GLORIOUS,Siaya Township,9,1,100
GLORIOUS  ,Dandora Area I,4,1,100
GLORY,Siaya Township,1,1,100
GO LWENY,South East Alego,3,1,100
GOD GIVES,South Sakwa,4,1,100
GOD IS ABLE,North Uyoma,3,3,300
GOD IS ABLE SHG,Suna Central,4,2,200
GOD JOPE FRIENDS,God Jope,4,2,200
GOD JOPE LADIES,God Jope,3,1,100
GOD JOPE UMOJA SHG,God Jope,4,3,800
GOD KWE,Kwa,7,4,400
GOD LAMO,North Kanyamkago,8,5,500
GOD OALA SHG,Kwa,7,6,600
GOD WILL PROVIDE,West Kamagak,5,1,100
GOD'S CHOSEN,Sarang'ombe,16,9,1100
GOD'S FAVOR CBO,Kwa Njenga,3,2,200
GOD'S GRACE,West Uyoma,10,2,200
GOD'S GRACE C,West Uyoma,2,2,200
GOD'S GRACE D,West Uyoma,4,4,400
GOD'S LOVE,Kayole Central,7,2,200
GODS GRACE B MANYUNDA,West Uyoma,2,2,200
GODS WILL,Siaya Township,6,4,400
GOGA,South Kamagambo,2,1,300
GOI-KOUCHO,North Uyoma,1,1,100
GOL PACHI,West Asembo,4,4,400
GOLD RUSH,Huruma,13,6,600
GOLDEN FAMILIES,Huruma,19,2,200
GOLDEN STAR,North Kamagambo,6,2,300
GOLDEN TEAM,Laini Saba,8,1,100
GOLDEN TOUCH INNOVATORS ,Gatina,9,1,100
GOLDEN WISE,North Ugenya,6,6,700
GOLDEN WOMEN,Wangchieng,13,5,500
GOLF BUSINESS,Central Gem,6,2,300
GOMBE PEOPLE EMPOWERMENT PROJECT,Siaya Township,6,3,300
GONGO FRIENDS,Central Gem,1,1,101
GOOD FRIENDS SHG,Kendu Bay Town,2,1,100
GOOD HOPE,Kwabwai,5,1,300
GOOD HOPE,Yimbo East,5,1,100
GOOD HOPE SHG,Kanyikela,9,2,200
GOOD SEED,Yimbo East,3,3,300
GORGEOUS ,Mlango Kubwa,10,1,100
GOSHEN ,Kayole Central,10,3,400
GOSHEN ,Kayole North,10,1,100
GOSI SHG,Central Gem,9,6,830
GOSPEL ACTS,Lindi,44,6,800
GOT A  SHG,Kwa,6,2,200
GOT ANYANGO,East Asembo,12,4,400
GOT ANYANGO A,East Asembo,7,4,400
GOT ANYANGO B,East Asembo,6,2,200
GOT ANYANGO C,East Asembo,5,1,300
GOT ANYANGO E,East Asembo,11,1,200
GOT ANYANGO W,East Asembo,5,4,400
GOT EAST A,Yimbo East,5,2,200
GOT EAST B,Yimbo East,7,3,400
GOT KAGWENY,God Jope,5,3,400
GOT KAKNEN,South Gem,7,5,500
GOT KOUCHO A,North Uyoma,7,5,500
GOT KOUCHO B,North Uyoma,4,2,200
GOT NANGA GOOD HUNTERS,North Ugenya,8,4,600
GOT NANGA MARKET,North Ugenya,8,7,700
GOT OBIERO,North Uyoma,9,3,300
GOT ODIERO A,North Uyoma,5,3,320
GOT ODIERO B,North Uyoma,6,4,400
GOT ODIERO C,North Uyoma,4,3,300
GOT ODIERO E,North Uyoma,2,1,100
GOT OGENGO URANGA,West Alego,9,2,300
GOT OGWANG FARMERS,South Gem,5,1,200
GOT OJUR FARMERS,North Alego,2,2,200
GOT OPOGE,Central Karachuonyo,6,4,400
GOT OPOGE,Kagan,6,1,100
GOT OYENGA B,North Alego,8,8,1000
GOYE B,West Yimbo,1,1,100
GOYE C,West Yimbo,4,4,400
GOYE D,West Yimbo,14,8,1000
GOYE F,West Yimbo,14,9,900
GRACE,South East Alego,4,1,100
GRACE GIVEN,Korogocho,48,7,900
GRACIOUS,Huruma,2,1,300
GRACIOUS AGAPE,Siaya Township,6,4,500
GRACIOUS WOMEN,Waithaka,3,2,200
GRACIOUS YOUTH,Siaya Township,2,2,600
GREAT ALTERCAL,Korogocho,16,13,1600
GREAT HOPE,Woodley,13,11,1100
GREAT LADIES SHG,Sarang'ombe,23,7,800
GREAT PILLARS,Central Karachuonyo,3,3,300
GREEN  FARMERS,South Sakwa,5,1,100
GREEN BAZE,West Asembo,4,1,100
GREEN FIELD,Central Kamagambo,4,2,200
GREEN LADIES,East Gem,13,5,500
GREEN LIGHT,Kanyadoto,14,3,300
GREEN LIGHT,Wangchieng,14,6,600
GREEN LIGHT GAGRA A,West Uyoma,3,2,400
GREEN VEGETABLE,North Sakwa,6,4,500
GREEN VILLAGE,Central Kanyamkago,2,2,200
GROUP C,North Alego,1,1,100
GROUP NYALO,Kabuoch North,5,1,100
GUBA FRIENDS,North Sakwa,12,6,700
GUIDERS YOUTH,Kanyaluo,6,1,100
GUMBA,Kendu Bay Town,5,4,500
GUMO WOMEN GROUP,West Seme,8,1,1
GUUM CBO,Sarang'ombe,40,5,1600
GWUONO HELP GROUP,Kachieng,4,4,400
Gakonga SHG,Gatina,16,9,3700
Gakonga SHG,Kilimani,16,1,700
Galilee,Lower Savannah,19,11,1300
Galilee Church,Mountain View,8,4,400
Galilee Women,Mountain View,10,5,600
Game Changer,Gatina,9,2,300
Ganjala SHG ,Kabiro,19,11,1300
Gateway vision 2030,Kwa Reuben,11,1,100
Gatoto Junior,Kwa Reuben,13,1,100
Gem Brothers and Sisters,Mugumu-Ini,5,2,200
Gem Kayaba,Viwandani,22,21,2100
Gema,Kware,14,8,1300
Generation ,Imara Daima,25,10,1500
Generation Joy,Pumwani,11,8,800
Generation Women Group,Imara Daima,1,1,200
Generosity,Kileleshwa,4,1,100
Genesis,Embakasi,45,7,1200
Genesis ,Nairobi South,21,2,300
Genesis  Bodaboda ,West Karachuonyo,5,1,100
Genesis Gateway ,Mathare North,7,2,200
Genesis Mwendo,Dandora Area I,2,1,200
Gesarate SHG,Mugumu-Ini,17,1,200
Get Together ,Imara Daima,5,3,400
Get set SHG,Kiamaiko,7,1,200
Ghetto ,Imara Daima,57,3,300
Ghetto ,Sarang'ombe,57,15,1800
Ghetto Rangers,Ngei,15,3,800
Ghetto queen,California,4,1,100
Giffwockerspan,Kabiro,18,5,500
Gifted,Airbase,8,3,500
Gifted ,Umoja Ii,14,3,300
Gifted Hands,Dandora Area Iv,17,3,400
Gifted Hands,Mlango Kubwa,17,1,100
Gifted Hands shg,Githurai,2,2,200
Gikomba Gifted hands,Pumwani,5,2,200
Gikomba Self Help Group ,Eastleigh South,2,1,100
Gikomba leaders,Pumwani,2,1,100
Gilgal SHG,Nyayo Highrise,19,9,900
Gitathuru C.H.V,Korogocho,9,6,700
Gitau Hope,Lower Savannah,8,4,500
Gitegemee Group ,Korogocho,34,9,1400
Gitothua Dissability CBO,Baba Dogo,1,1,300
Gituamba,Kasarani,6,3,500
Gituamba C,Kasarani,11,1,100
Gituamba Youths ,Kasarani,12,2,200
Giving power,Sarang'ombe,1,1,600
Glorious,Kayole Central,13,1,100
Glorious,Kayole North,13,1,100
Glorious,Lower Savannah,13,3,300
Glorious ,Kangemi,7,1,100
Glorious Hope,Mwiki,3,1,100
Glorious KCC,Dandora Area I,11,4,900
Glorius Team,Imara Daima,6,3,500
Glory,California,4,3,300
Glory A,Viwandani,14,6,600
Glory B,Kwa Reuben,3,2,200
Glory Church,Nyayo Highrise,12,5,1100
Glory SGH,Kabiro,30,10,1000
Glory SHG,Nyayo Highrise,15,13,1300
Glucola Young Turks,Lucky Summer,8,1,100
Go Geter,Njiru,6,1,100
Go Getter Njiru,Njiru,14,3,300
Go Getter Njiru,Ruai,14,3,300
Go Getter Ruai,Ruai,3,1,100
Go Gotters Group ,Utalii,9,1,100
God Centered,Nyayo Highrise,3,3,500
God Centered group ,Nyayo Highrise,7,4,400
God First,Githurai,3,1,300
God First,Roysambu,3,1,300
God WIill Make It Happen ,Pipeline,25,8,800
God bless Grogan,Korogocho,19,2,400
God given Chieko,Kasarani,14,5,500
God is Able,Ngei,5,2,300
God's Blessing ,Kwa Njenga,6,3,700
God's Favor ,Kwa Njenga,15,10,1000
God's Favour,Lower Savannah,9,3,800
God's Favour,Njiru,9,1,100
Godwilling group,Kwa Reuben,1,1,100
Gold ,Nairobi South,4,3,900
Golden Age shg,Githurai,1,1,200
Golden Star,Imara Daima,5,2,200
Golden Vision,Embakasi,17,10,1200
Golden Wings,Lucky Summer,11,9,1100
Gombe chap chap women group,North Alego,1,1,200
Gonga njaa,Korogocho,1,1,300
Good  Friends ,Kwa Njenga,8,2,200
Good Friends,Dandora Area I,33,18,4300
Good Friends,Dandora Area Iii,33,1,300
Good Neigbour,Pumwani,14,2,200
Good Samaritan,Gatina,17,9,1300
Good Will,Kayole South,17,9,1100
Good hope,California,7,5,500
Good testimony ,Githurai,11,5,700
Goodwill ,Viwandani,12,6,800
Gor,Karura,15,3,400
Gorofani Bahati,Maringo/Hamza,19,4,500
Goshen Faith Movers,Baba Dogo,11,5,800
Goshen Faith Movers,Korogocho,11,2,200
Goshen SHG,Gatina,19,5,1400
Gospel Group ,Baba Dogo,7,1,100
Grace Eagles Women SHG,Mugumu-Ini,26,4,500
Grace Exemplary SHG ,Kwa Njenga,10,3,300
Grace group,California,19,8,800
Gracious,California,7,2,200
Gracious women ,Dandora Area Iv,21,19,1900
Gracious youth ,Siaya Township,2,2,200
Grade 10,Mowlem,11,5,900
Grade 3,Hospital,3,1,600
Grade 3,Mabatini,3,1,200
Grade 4,Mabatini,3,1,300
Grade 5,Mabatini,2,1,100
Grade 7,Mabatini,5,3,400
Grade 8,Mabatini,3,2,1300
Grade 8 ,Mabatini,4,1,300
Gramo 2024,Imara Daima,15,9,1100
Grate Joy ,Kwa Reuben,7,3,500
Great  success ,Homa Bay Arujo,1,1,100
Great Achievers,Baba Dogo,38,3,300
Great Achievers,Kangemi,38,1,100
Great Achievers,Njiru,38,3,300
Great Faith,Karura,7,1,300
Great Friends SHG,Dandora Area Iv,6,2,400
Great Gift Women SHG,Mugumu-Ini,12,10,1700
Great Joy ,Kwa Reuben,5,1,100
Great Minds,Baba Dogo,4,1,200
Great Minds ,Kwa Njenga,8,4,400
Great achievers ,Maringo/Hamza,1,1,100
Great friends,Makongeni,22,11,1200
Great friends ,Sarang'ombe,1,1,200
Great minds,Viwandani,3,3,400
Great sisters ,Kahawa West,6,1,100
Greate Vision ,Ziwani/Kariokor,10,6,1300
Greater Love,Gatina,11,7,700
Greatmates Youths,Nyayo Highrise,22,1,100
Green Land,Imara Daima,2,1,100
Green Light,Korogocho,7,7,700
Green Revolution Farmers ,Lucky Summer,11,11,1100
Green Umbrella,Dandora Area Iv,22,3,500
Greencard mtaani,Nyayo Highrise,13,2,400
Greshem Women SHG,Mugumu-Ini,11,5,700
Group 10 Maziwa ,Imara Daima,10,6,600
Gukinya self help group ,Kwa Reuben,4,3,300
H.C.T.P,Korogocho,18,1,100
HABA NA HABA,Woodley,27,6,1000
HAFUMBE FC A,North Ugenya,9,6,1200
HALALA UNITY,Ugunja,8,2,400
HAMISI,East Kamagambo,2,2,300
HAND OF WIDOWS,Usonga,11,10,1000
HAND SHAKE,West Yimbo,19,5,1400
HANDS OF MERCY DISABLE,Sarang'ombe,20,1,100
HANDS TOGETHER,Central Alego,4,1,100
HANDSHAKE B,West Yimbo,6,3,600
HAO Women group ,Gembe,2,2,600
HAP RUOTH,Sigomere,4,3,300
HAP RUOTH B.,Sigomere,4,3,300
HAPPINESS,Central Kamagambo,14,1,100
HAPPINESS,Sarang'ombe,14,1,300
HAPPINESS,West Sakwa,14,1,100
HAPPINESS AYANY SHG,Woodley,62,5,500
HAPPY SILK,East Gem,11,3,800
HAPPY W,Siaya Township,9,2,200
HAPPY WOMEN B,Ahero,5,1,100
HARAKA UPESI,West Gem,7,6,1100
HARAMBEE WOMEN,Dandora Area I,8,3,300
HARAMBEE WOMEN,Dandora Area Iii,8,2,400
HARD WORK PAYS,Sigomere,8,3,300
HARD WORKERS SHG,Woodley,19,8,3200
HARMONY YOUTH,East Kamagambo,2,2,200
HATUBAKI NYUMA,South Gem,4,3,900
HATUBAKI NYUMA B,South Gem,4,3,300
HAVE MERCY,West Uyoma,6,5,600
HAWI,West Uyoma,5,1,100
HAWI B. KAGWA,West Uyoma,3,2,700
HAWI GROUP A KAGWA,West Uyoma,9,3,300
HAWI KIROM SHG,Central Kasipul,4,3,400
HAWI W GAGRA,South Uyoma,6,1,100
HAWI W GAGRA,West Uyoma,6,1,100
HAWINGA TOWNSHIP,West Alego,11,5,1900
HAYODA WOMEN,South East Alego,2,1,100
HEART TO HEART,Huruma,16,7,1100
HEARTFUL MOTHERS,California,29,7,1000
HEARTFUL MOTHERS,Eastleigh South,29,10,1200
HEAVENLY CHAMBERS,Central Alego,4,4,500
HEHEMA RIARA,Imara Daima,1,1,100
HEKIMA EBWIRANYI SELF,East Gem,3,3,300
HEMBHO GRP,South East Alego,7,3,400
HER DENDI,West Sakwa,1,1,100
HER GIMITIMO RANALO B,North Uyoma,4,2,101
HER GIRI RAGENGNI,North Uyoma,4,2,200
HER WADU,East Kamagambo,5,1,100
HER WADU A,West Uyoma,7,5,1000
HER WADU KANOYA,West Uyoma,6,6,700
HER WADU SELF A,North Gem,7,5,600
HERA,Homa Bay West,12,4,800
HERA,West Alego,12,3,400
HERA A SHG,South Gem,9,6,1400
HERA B SHG,South Gem,6,3,500
HERA BER,Central Alego,13,5,800
HERA BER W GROUP,Yimbo East,4,2,300
HERA BER WOMEN A,West Gem,7,4,400
HERA EN NG'UONO,West Uyoma,6,3,300
HERA GI KINDA A,Central Sakwa,7,5,700
HERA GI KINDA B,Central Sakwa,3,3,300
HERA NYIMINE,Wangchieng,11,4,400
HERA NYIMINE SENIOR ,Wangchieng,7,5,800
HERA WOMEN,South Kasipul,10,3,300
HERA WOMEN,South Sakwa,10,2,200
HERA WOMEN GROUP,Ukwala,6,4,501
HERGIMITIMO A,North Uyoma,32,2,200
HERGIMITIMO A,West Asembo,32,1,100
HERGIMITIMO B,North Uyoma,3,1,100
HERGIMITIMO C,West Asembo,1,1,100
HERGIMITIMO NDWARA,West Asembo,4,4,400
HERO KOD TIMO WG,Lambwe,3,1,100
HEROES SHG,Riruta,4,1,100
HERWADU FARMERS,West Uyoma,3,2,200
HERWADU SELF B,North Gem,5,4,500
HESHIMA,Sigomere,4,2,300
HIFADHI,Riruta,4,2,200
HIGH FLYERS SHG,Hospital,40,5,700
HIGH FLYERS SHG,Ngei,40,29,3000
HIGHLAND WINNERS ,Wangchieng,6,5,500
HIGHLIGHT,Yimbo East,7,7,800
HIGHWAY A,Kabondo West,25,7,700
HIGHWAY B,Kabondo West,3,1,100
HIGHWAY D,Kabondo West,1,1,100
HIGHWAY E,Kabondo West,1,1,100
HIGHWAY OSIEPE FRATERNITY SHG,Sarang'ombe,31,21,7800
HILL TOP,East Kamagak,2,2,400
HILL TOP CITY,Riruta,15,8,900
HILLSIDE,Central Kamagambo,6,6,800
HILLSIDE VICTORIA WG,Central Kisumu,7,1,100
HILLTOP,East Kamagambo,2,1,100
HIMIZA,South Kanyamkago,7,5,500
HISHIMA A,West Gem,5,2,200
HISHIMA B,West Gem,8,3,400
HISHIMA C,West Gem,6,3,400
HISHIMA D,West Gem,4,3,300
HOLY CROSS CHURCH,South Sakwa,5,5,500
HOMEGROUND,Lindi,41,27,2900
HOMISI,East Kamagambo,3,3,400
HONEST,North Sakwa,6,1,100
HOPE,Homa Bay Central,16,6,600
HOPE,North Kamagambo,16,2,200
HOPE ALIVE,Sigomere,5,4,400
HOPE CARE GIVERS,Laini Saba,12,8,1200
HOPE DEVELOPMENT,West Sakwa,7,4,400
HOPE GROUP,East Asembo,13,1,100
HOPE GROUP,Kakrao,13,3,300
HOPE GROUP,West Asembo,13,3,400
HOPE GUNDA,East Asembo,6,2,300
HOPE KITENGELA,Ng'ando,11,2,300
HOPE OF THE HELPLESS,East Kamagambo,5,1,100
HOPE RECLAIMERS,Laini Saba,24,13,1300
HOPE RECLEIMERS,Mugumu-Ini,7,3,300
HOPE SHG,Ombeyi,8,1,1
HOPE VISION,Waithaka,21,1,100
HOPE WELL WOMEN,West Alego,9,5,1000
HOPE WOMEN,West Yimbo,6,1,100
HOPEFUL MOTHERS,East Kamagak,10,3,300
HOPEFUL SISTERS,East Ugenya,6,3,300
HOPEFULLY A,West Yimbo,12,7,700
HOPEFULLY B,West Yimbo,5,2,200
HOPEFULLY C,West Yimbo,11,9,1100
HOPEFULLY D,West Yimbo,9,8,1000
HOPEFULLY F,West Yimbo,9,9,1300
HORA WELFARE ASS,Lindi,1,1,100
HOSPITAL VIEW,Siaya Township,4,3,500
HOSPITALITY,South Gem,8,8,1800
HOT STEP,Makina,18,3,700
HOTEL WOMEN,West Yimbo,1,1,100
HTC CHORISTERS,Makina,21,6,1200
HUDUMA CENTRAL ,Kiamaiko,11,2,200
HUDUMA PAMOJA,Lindi,18,5,500
HUMBLE  BROTHERHOOD FAMILY,Sarang'ombe,20,1,200
HUMBLE BEGINNERS,South Sakwa,2,2,200
HUMBLE HEART ,Kasarani,10,1,100
HUMBLE LADIES,South Sakwa,1,1,100
HUMBLE SISTERS,Kiamaiko,6,3,700
HUMMING BIRD SHG,Sarang'ombe,45,21,4300
HURUMA CORNER FRIENDS,Huruma,8,1,100
HURUMA FLATS,Huruma,8,4,400
HURUMA LIONS,Huruma,7,1,1200
HURUMA MASHINANI,Huruma,6,3,300
HWANO,Siaya Township,9,6,700
HYGAD,Huruma,24,18,2000
Hadasa shg,Githurai,4,1,100
Hadasa shg,Kahawa,4,1,300
Hadasa shg,Kahawa West,4,1,300
Hadassah group,Kahawa,11,5,500
Hadi ,Gatina,1,1,100
Hail Mary,Dandora Area I,11,2,200
Haki na Jasho Group,Kwa Reuben,3,2,200
Haki na jasho,Kwa Reuben,15,5,500
Hallelujah ,Embakasi,35,11,1400
Hand Of Love ,Eastleigh South,11,5,500
Hand Shake 3,Kwa Njenga,9,3,400
Hand shake 1,Imara Daima,8,2,200
Handshake SHG,Gatina,13,1,100
Happy Choice SHG,Kariobangi North,22,1,300
Happy Women,Imara Daima,10,8,1100
Happy Women ,Imara Daima,3,2,400
Happy ladies ,Kware,7,5,500
Happy land,Komarock,3,3,700
Happy mothers G,Pumwani,12,8,900
Harambee Women,Harambee,18,12,1700
Hardworking Slums ,Korogocho,10,3,700
Harmony ,Kayole South,14,4,600
Harmony ,Utalii,14,3,300
Harvest,Kabiro,2,2,200
Hasina Based,Nairobi South,6,3,800
Hawi,Kayole Central,8,3,300
Hawi,Kayole South,8,1,100
Hawi SHG ,Kwa Reuben,12,3,300
Heaven Gate,Pipeline,20,11,1100
Her Wadu SHG,Gatina,22,19,2800
Hera,Njiru,22,9,2400
Hera group ,South Gem,2,1,100
Heritage ,Pipeline,19,3,500
Heroes ,Imara Daima,13,9,1000
Heroes youth group,East Kamagak,9,2,200
Heshima Bora,Dandora Area I,23,14,2000
Heshima Woman,Eastleigh South,12,11,1600
Heshima Women,Korogocho,10,1,100
High Five,Kawangware,7,6,600
High Vision,Mabatini,4,1,400
High Vision ,Gatina,28,17,2100
High Vision B,Gatina,14,7,1100
High vision,California,4,3,400
High vision ,Landimawe,4,2,300
Highflier,Kwa Njenga,9,5,600
Highlight group B,Yimbo East,2,1,300
Highridge Community Transformation ,Korogocho,3,1,100
Highridge Health Unit,Korogocho,11,3,800
Highridge Mavuno ,Korogocho,15,7,700
Holly Group SHG,Dandora Area Iv,8,2,200
Holly Tassia,Embakasi,13,1,100
Holy Dulcis Virgo,Dandora Area Iv,9,4,400
Home Sweet Home,Dandora Area Iv,38,12,1600
Home Welfare,Gatina,24,13,1600
Home sweet home ,Dandora Area Iv,3,1,100
Honest Mothers,Kiamaiko,17,12,1200
Hope,Karura,22,3,300
Hope,Parklands/Highridge,22,6,1200
Hope ,Nairobi South,13,5,1100
Hope & Vision SHG ,Hospital,18,4,400
Hope 5,Pumwani,2,2,300
Hope Enterprise,Baba Dogo,24,8,1000
Hope Imara,Imara Daima,11,6,800
Hope Lumumba,Harambee,7,4,400
Hope Mothers ,Kware,12,7,700
Hope Sun,Ngei,5,2,200
Hope Women Dandora,Dandora Area I,1,1,100
Hope Women Soweto,Nyayo Highrise,20,3,500
Hope _K,Kabiro,15,12,1400
Hope and Joy,Dandora Area Iv,16,2,200
Hope and Shine,Gatina,30,8,1200
Hope of Light,Ngei,9,3,500
Hope shalom,Mowlem,11,1,300
Hope with action,Komarock,15,11,1500
Hopefully G,West Yimbo,7,7,2100
Hosana High,Makina,34,9,1800
Hosanna B,Lower Savannah,12,8,800
Humble,Maringo/Hamza,63,19,3200
Humble ,Maringo/Hamza,1,1,300
Humble sisters group,Komarock,4,2,200
Huruma A Unit,Hospital,15,9,1000
Huruma B Unit,Hospital,24,21,4300
Huruma Sisters,Hospital,10,6,600
Huruma Sisters,Ngei,10,3,800
Huruma Town Youth ,Hospital,1,1,300
Hustler ,Baba Dogo,11,8,1200
IBIS ARCADE,Makina,18,6,3000
IDAG NANGO,Siaya Township,9,4,500
IJK Group ,Utalii,16,8,800
IKEREGE LLGHT B,Bukira Central/Ikerege,2,1,100
ILOMBE MBITA WOMEN,Kasgunga,1,1,200
IMANI,California,31,1,150
IMANI,Kanyamwa Kosewe,31,1,100
IMANI,Sarang'ombe,31,4,600
IMANI BODABODA 1,West Alego,9,2,200
IMANI KODWESO,East Ugenya,2,1,300
IMANI MIXED,Central Alego,6,3,700
IMANI SHG,Kanyikela,4,2,200
IMANI TOSHA ,Nyayo Highrise,11,4,600
IMANI WOMEN,West Sakwa,5,3,500
IMANI WOMEN GROUP,North Sakwa,2,1,100
IMARA BIDII SHG,Lindi,21,1,100
IMARA BIDII SHG,Sarang'ombe,21,11,1200
IMARA CHAMPIONS,Imara Daima,7,3,900
IMARA DAIMA ARTISAN ,Imara Daima,9,5,800
IMARA PAMOJA -B ,Imara Daima,10,4,400
IMARA PAMOJA A,Imara Daima,9,5,500
IMARA PAMOJA A ,Imara Daima,3,2,200
IMARA VILLA FRANCA ,Imara Daima,13,6,1900
IMARA VILLA FRANCA A,Imara Daima,10,4,500
IMARA VILLA FRANCA A ,Imara Daima,29,14,4000
IMARA VILLA FRANCA B ,Imara Daima,26,17,3400
IMARA WIDOWS,South Gem,11,1,100
IMARAH HEROES CBO,Imara Daima,7,4,600
IMBO CECOFO,Homa Bay East,4,3,300
IMPACT MOVERS,Riruta,15,11,1400
INDEPENDENT WIDOWS SHG,South Sakwa,6,1,100
INFOTEDD CBO,Kanyamwa Kosewe,4,1,100
INGWE A,East Asembo,10,3,300
INGWE B,East Asembo,9,5,600
INNERCORE,Kayole North,9,1,100
INSPIRING QUEENS,Central Kamagambo,2,2,200
INTEGRATED,Homa Bay Central,2,1,100
INTELLIGENT SHOFCO,Laini Saba,28,15,2800
INTENT,Huruma,11,1,100
INUA JAMII,North Ugenya,4,4,500
INUKA,Siaya Township,5,2,200
INUKA CHAP CHAP,West Sakwa,16,10,1000
INUKA CHAPCHAP,Homa Bay Arujo,3,3,300
INUKA GROUP,West Asembo,8,3,300
INUKA WOMEN,North Sakwa,56,3,500
INUKA WOMEN,Sarang'ombe,56,12,2700
IRITO ANGO,West Asembo,1,1,100
IRON LADIES NGEI,Mabatini,7,1,100
ISEME,Ugunja,4,2,200
ISEME DEVELOPMENT,North Ugenya,10,2,200
ISRELA,South Uyoma,3,1,200
ITU COMPANY ,Lucky Summer,10,1,100
IYF HOMABAY ,Homa Bay Central,8,4,400
IceMeloyi,Kawangware,1,1,100
Ignitious,Makongeni,6,3,300
Igumooini SHG,Kahawa West,7,3,300
Ijuma A SHG ,Kwa Reuben,2,2,200
Imani,Karura,13,1,100
Imani,Parklands/Highridge,13,1,100
Imani 46,Kawangware,4,2,200
Imani D 2,Dandora Area Ii,1,1,100
Imani Furaha ,Imara Daima,9,5,700
Imani Group,Dandora Area I,11,3,300
Imani Group,Dandora Area Ii,11,2,200
Imani Group,Sarang'ombe,11,1,100
Imani Moto.Moto,Imara Daima,10,2,200
Imani Riara,Kwa Njenga,27,10,1100
Imani group ,Kayole Central,1,1,100
Imara Links,Imara Daima,10,3,1600
Imara SHG,Mowlem,23,7,700
Imara ni sisi,Imara Daima,7,2,600
Indana CBO,Mowlem,6,2,500
Index 1,Kwa Njenga,26,6,1100
Infinity SHG ,Njiru,17,1,100
Ingo 1,Bukhayo East,1,1,7
Integrity,Kawangware,8,6,1100
Intelligent Shofco B SHG,Woodley,10,1,900
Inuana Drabone,Kwa Njenga,5,3,300
Inuana Drabone B,Imara Daima,26,7,2100
Inuana Drabone B,Kwa Njenga,26,4,400
Inuka,Kangemi,27,1,100
Inuka,Mabatini,27,2,200
Inuka 4B,Ngei,13,2,200
Inuka Young Investors ,Imara Daima,8,6,1400
Inyungula B SHG,Kariobangi North,8,4,600
Inyungula SHG,Kariobangi North,13,5,500
Iron Ladies,Dandora Area Iv,13,5,500
Iron Ladies Njiru,Njiru,17,7,700
Israel,Embakasi,29,8,1100
Israel,Kawangware,29,2,200
Ituma SHG,Kwa Reuben,22,18,1800
Iviani,Pumwani,11,5,500
JABER JAULA,Homa Bay East,5,4,400
JACARANDA GROUP,Lindi,20,3,400
JACHAN JAKINDA SIMRA,West Alego,7,4,500
JACHAN OK KUN,Kolwa East,22,1,1
JACHAN OK KUN,Nyalenda A,22,2,51
JACHAN OK KUN,Yimbo East,22,4,800
JACOBO MOYIE,West Sakwa,7,4,400
JADHIER OK KUN,West Sakwa,11,5,600
JADHIER RATEGO A,East Gem,16,8,1000
JAGRA SALETE,West Asembo,3,1,100
JAKINDA A,South Gem,4,3,500
JAKINDA EMA KEYO,Sigomere,10,1,100
JAKINDA EMAKEYO,North Sakwa,7,1,100
JAKINDA EMAKEYO,West Gem,7,5,500
JAKINDA EMAKEYO,West Sakwa,7,1,100
JAKINDA EMAKEYO USENGE,West Yimbo,11,6,600
JAKINDA SHG,Sarang'ombe,6,4,800
JAKONYWA,Homa Bay East,17,10,2900
JAMAFUTA CATERING,Sigomere,7,6,600
