Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
AKOKO A WOMEN GROUP,South Sakwa,5,4,400
AKOKO B FRIENDS,South Sakwa,10,3,400
AKOKO B MABADILIKO,South Sakwa,4,2,200
AKOKO D WOMEN GROUP,South Sakwa,4,1,100
AKOKO EBENEZA,South Sakwa,5,3,300
AKOM BLESSINGS,West Asembo,1,1,100
AKONYA SHG,Yimbo East,3,1,100
AKUTI WOMEN,East Kamagambo,3,1,100
AKWAKRA SHG,Wangchieng,11,1,200
AL FAJIR SHG,Makina,25,18,3400
AL RAHMAN,Makina,47,19,6300
AL RAZAQ,Lindi,40,16,3000
AL SHAJARAH,Makina,29,14,3400
AL nisah,Pumwani,16,12,1200
ALAKA WOMEN,Yimbo East,3,3,300
ALARA TARAJI,North Alego,10,9,900
ALARA TIN TIN,West Sakwa,4,1,100
ALARA W.G,North Uyoma,1,1,100
ALARA WIDOWS,North Alego,5,2,200
ALARO YOUNG STARS,Kabondo East,4,3,300
ALAZEL,Central Alego,3,1,100
ALFA ONE,Ugunja,6,5,500
ALFAJIRI,East Kamagambo,5,2,400
ALIETH MOYIE,North Ugenya,7,4,400
ALIRU MOTHERS GROUP,East Asembo,14,2,200
ALKAMA,Dandora Area Iv,6,2,200
ALL NATION,Ng'ando,8,4,400
ALLAI BARIK,Makina,30,5,2000
ALPHA,Central Alego,9,4,400
ALPHA SQUAD,Mountain View,17,12,1600
ALPHA WOMEN GROUP,East Kamagambo,7,6,600
ALPHER KAGWA,West Uyoma,6,1,100
ALUALA TUMAINI GRP,South East Alego,3,2,200
ALWALA SHG,Central Gem,7,2,200
AMALO WOMEN,South Sakwa,5,4,400
AMANGO WOMEN,Lindi,24,15,2200
AMANI,Central Alego,21,1,100
AMANI,East Gem,21,1,100
AMANI,North Uyoma,21,1,100
AMANI,Riruta,21,1,100
AMANI,Siaya Township,21,3,300
AMANI,Sigomere,21,5,500
AMANI 2,South Gem,15,12,1300
AMANI B,North Ugenya,7,4,1200
AMANI B,Ukwala,7,3,800
AMANI FRIENDS A,South Uyoma,7,6,600
AMANI FRIENDS B,South Uyoma,5,3,300
AMANI GROUP,East Asembo,10,3,300
AMANI IDUMU,Sarang'ombe,12,1,100
AMANI NA BIDII,North Sakwa,7,4,400
AMANI NYAMONYE,West Alego,5,4,400
AMANI NYILIMA,East Asembo,12,6,810
AMANI NYILIMA,West Asembo,12,4,410
AMANI PALA,North Uyoma,8,1,100
AMANI PALA,West Uyoma,8,5,600
AMANI SOWETO,Nyayo Highrise,20,7,1000
"AMANI TAUSI ""B"""" GROUP""",North Sakwa,1,1,100
AMANI VISION LAINI,Laini Saba,17,2,800
AMANI WOMEN,Central Gem,30,10,1500
AMANI WOMEN,Central Sakwa,30,2,200
AMANI WOMEN,North Uyoma,30,4,400
AMANI WOMEN A,Yala Township,3,3,300
AMANI WOMEN B,Yala Township,3,2,201
AMANI WOMEN NGOMONGO ,Korogocho,1,1,100
AMANI WOMEN SEGA,North Ugenya,8,6,600
AMANI YA BWANA,West Gem,8,5,600
AMANI YOUTH ,Nyayo Highrise,8,3,400
AMAZING,Lindi,50,3,300
AMAZING,Sarang'ombe,50,6,800
AMAZING  B,Ugunja,6,3,400
AMAZING GRACE,Central Kasipul,23,4,400
AMAZING GRACE,North Sakwa,23,1,300
AMAZING GRACE,West Alego,23,2,200
AMAZING GRACE SHG,Kondele,1,1,300
AMBASA,South Kanyamkago,4,3,400
AMBASSADORS B,South Gem,11,6,600
AMBASSADORS SHG,Central Karachuonyo,16,3,400
AMBASSADORS SHG,South Gem,16,2,200
AMBASSADORS WOMEN,Laini Saba,22,5,500
AMBITION SELF RAMULA,East Gem,1,1,100
AMBOKO TEST,Sarang'ombe,1,1,300
AMGP,West Kamagak,4,3,300
AMIGAS,Pumwani,4,4,1200
AMKA TWENDE,Gatina,25,2,200
AMKENI SHG,Central Alego,14,13,1400
AMUA,North Kamagambo,11,2,300
AMUKA TWENDE,Gatina,1,1,300
AMUKENI,North Alego,9,6,700
AMWAME,Riruta,12,1,100
AN'GASA MOYIE,North Alego,4,2,200
ANDANG UNITE A,Yala Township,14,6,800
ANDINGO S',Central Kasipul,4,2,300
ANDOLO CBO,Lindi,100,18,3000
ANDONI A,North Uyoma,10,4,400
ANDONI A,South Uyoma,10,2,200
ANDREAS,Homa Bay Central,5,3,600
ANEKO ARMANI SGP,Got Kachola,5,5,500
ANEKO TEAM SGP,Got Kachola,4,1,100
ANEKO TEAM SGP B,Got Kachola,5,2,200
ANGIMO WOMEN GROUP,Gem West,5,2,200
ANGIRA SHG,Kajulu,12,1,100
ANGWE TUUNGANE,South East Alego,10,4,400
ANJAGO SENIOR,East Kamagak,6,4,400
ANJEGO NETWORK,Kakrao,7,4,700
ANJELA RALF,North Sakwa,4,3,300
ANTIOCH,Riruta,5,5,500
ANYANGA TICH MATEK,West Yimbo,9,5,500
ANYANGO OSUMO RIEKO,East Kamagambo,4,3,311
AORA TONDE,Kabuoch North,10,8,1100
AORACHUODHO ELDERS,Kwabwai,3,1,200
APATE MOYIE,West Alego,1,1,200
APENG'O A,Central Sakwa,1,1,100
APENG'O B,Central Sakwa,2,2,200
APIDI SELF,East Gem,6,1,100
APIYO NYOMOLO,North Karachuonyo,1,1,300
APONDO,East Kamagambo,3,3,300
APONDO NYANGANDE,Kabonyo/Kanyagwal,12,3,3
APONDO V2,West Uyoma,8,5,500
APOSTOLIC ,Kawangware,3,3,700
APOSTOLIC YOUTH,Lindi,44,7,800
APOYA NORTH REGION,Yimbo East,2,1,300
ARAM A. SHG,West Asembo,7,4,400
ARAM INITIATIVE,West Asembo,11,7,700
ARAM MINI SHG,West Asembo,4,1,200
ARENA TEAM A,North Gem,6,1,100
ARENA TEAM B,North Gem,4,1,200
ARIMA MPYA,East Ugenya,5,3,300
ARISE & SHINE,Kochia,5,3,300
ARISE AND CONQUER,Laini Saba,23,5,600
ARISE AND CONQUER,Woodley,23,1,300
ARISE AND SHINE,East Asembo,14,2,200
ARISE AND SHINE,South Sakwa,14,3,300
ARISE AND SHINE A,Central Gem,38,8,900
ARISE AND SHINE A,South Uyoma,38,9,1000
ARISE AND SHINE B,South Uyoma,3,1,100
ARISE AND SHINE C,Central Gem,3,3,400
ARISE AND SHINE D,Central Gem,1,1,100
ARISE AND SHINE SHG,West Sakwa,2,1,300
ARONGO  D,West Uyoma,7,4,500
ARONGO B,West Uyoma,2,2,400
ARONGO B WAGORO,North Uyoma,8,2,300
ASANGO MAYIENGA,Sigomere,4,2,200
ASANGO MAYIENGA B.,Sigomere,5,1,100
ASELO TOTOS,Central Alego,4,3,300
ASEMBO PINY MABER,Sarang'ombe,16,11,3300
ASEMBO SISTERS,West Uyoma,2,2,200
